"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-29","13.65","0.00","0.0","0.0",,"70","50","   10","   10",,"23.9","32.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-30","5.59","0.00","0.0","0.0",,"54","43","  180","  180",,"13.0","16.1",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-31","10.51","0.00","0.0","0.0",,"64","48","   70","   70",,"23.0","25.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-01","6.71","0.07","0.0","0.0",,"64","47","  180","  200",,"15.0","17.9",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-02","12.75","0.08","0.0","0.0",,"62","47","  350","  350",,"28.0","32.0","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-03","3.80","0.00","0.0","0.0",,"73","42","  330","  360",,"13.0","17.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-04","8.05","0.00","0.0","0.0",,"76","53","  320","  330",,"21.9","28.0",,,,,,,"    1",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-05","8.28","0.00","0.0","0.0",,"63","47","   20","   50",,"19.9","25.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-06","13.20","0.00","0.0","0.0",,"62","42","  360","  360",,"23.9","28.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-07","11.18","0.00","0.0","0.0",,"65","42","  340","  320",,"25.1","30.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-08","9.62","0.00","0.0","0.0",,"74","48","  320","  320",,"23.9","32.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-09","14.99","0.00","0.0","0.0",,"69","53","  270","  300",,"32.0","42.9",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-10","10.74","0.00","0.0","0.0",,"68","45","  340","  360",,"25.1","36.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-11","11.86","0.01","0.0","0.0",,"56","40","  310","  320",,"23.9","30.0",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-12","11.86","0.00","0.0","0.0",,"63","42","  320","  360",,"21.0","30.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-13","6.49","0.00","0.0","0.0",,"67","45","  340","  340",,"15.0","21.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-14","8.28","0.00","0.0","0.0",,"75","46","  180","  200",,"19.9","25.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-15","9.84","0.00","0.0","0.0",,"83","60","  210","  230",,"17.9","23.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-16","11.18","0.00","0.0","0.0",,"89","63","  200","  200",,"23.0","30.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-17","11.18","0.00","0.0","0.0",,"77","61","  330","  330",,"23.0","28.0",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-18","6.71","0.05","0.0","0.0",,"62","53","   20","   10",,"16.1","21.0",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-19","3.13","0.00","0.0","0.0",,"72","50","  180","  180",,"10.1","12.1",,,,,,,"    1",,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-20","6.49","0.00","0.0","0.0",,"76","52","  210","  240",,"14.1","21.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-21","12.30","0.16","0.0","0.0",,"82","57","  320","  320",,"29.1","38.0","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-22","15.21","1.27","0.0","0.0",,"57","46","  340","  340",,"25.1","32.0","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-23","11.86","0.10","0.0","0.0",,"50","42","  290","  330",,"23.9","31.1","    1",,,,,,,,,"    1","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-24","9.84","0.00","0.0","0.0",,"64","42","  230","  230",,"21.0","25.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-25","5.59","0.00","0.0","0.0",,"71","44","  260","  280",,"21.0","33.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-26","8.95","0.03","0.0","0.0",,"65","56","  330","  320",,"30.0","36.9","    1",,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-27","13.87","0.00","0.0","0.0",,"64","48","  330","  340",,"29.1","40.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04-28","5.14","0.12","0.0","0.0",,"56","45","  360","   30",,"13.0","17.0",,,,,,,,,,,,,"    1",,,,
